model,best_score,best_params,ngram_range,max_features,feature_type,analyzer,samples
pipeline_SVM,0.6759999999999999,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",3000,BoW,word,1000
pipeline_SVM,0.659,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",3000,BoW,char,1000
pipeline_SVM,0.635,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(3, 3)",500,tfidf,word,1000
pipeline_SVM,0.78,"{'classifier__C': 0.1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(3, 3)",500,tfidf,char,1000
pipeline_SVM,0.5900000000000001,"{'classifier__C': 0.01, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(3, 3)",500,BoW,word,1000
pipeline_SVM,0.78,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(3, 3)",500,BoW,char,1000
pipeline_SVM,0.61,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(3, 3)",1000,tfidf,word,1000
pipeline_SVM,0.8019999999999999,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(3, 3)",1000,tfidf,char,1000
pipeline_SVM,0.5660000000000001,"{'classifier__C': 0.01, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(3, 3)",1000,BoW,word,1000
pipeline_SVM,0.7889999999999999,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(3, 3)",1000,BoW,char,1000
pipeline_SVM,0.599,"{'classifier__C': 0.01, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(3, 3)",3000,tfidf,word,1000
pipeline_SVM,0.7859999999999999,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(3, 3)",3000,tfidf,char,1000
pipeline_SVM,0.587,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(3, 3)",3000,BoW,word,1000
pipeline_SVM,0.753,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(3, 3)",3000,BoW,char,1000
