model,best_score,best_params,ngram_range,max_features,feature_type,analyzer,samples
pipeline_SVM,0.786,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",500,tfidf,word,1000
pipeline_SVM,0.7230000000000001,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",500,tfidf,char,1000
pipeline_SVM,0.764,"{'classifier__C': 0.1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",500,BoW,word,1000
pipeline_SVM,0.683,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",500,BoW,char,1000
pipeline_SVM,0.78,"{'classifier__C': 0.1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",1000,tfidf,word,1000
pipeline_SVM,0.7230000000000001,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",1000,tfidf,char,1000
pipeline_SVM,0.766,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",1000,BoW,word,1000
pipeline_SVM,0.683,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",1000,BoW,char,1000
pipeline_SVM,0.707,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",3000,tfidf,word,1000
pipeline_SVM,0.7230000000000001,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",3000,tfidf,char,1000
pipeline_SVM,0.775,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",3000,BoW,word,1000
pipeline_SVM,0.683,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(1, 1)",3000,BoW,char,1000
pipeline_SVM,0.77,"{'classifier__C': 0.1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",500,tfidf,word,1000
pipeline_SVM,0.741,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",500,tfidf,char,1000
pipeline_SVM,0.688,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",500,BoW,word,1000
pipeline_SVM,0.7100000000000001,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",500,BoW,char,1000
pipeline_SVM,0.772,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",1000,tfidf,word,1000
pipeline_SVM,0.738,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",1000,tfidf,char,1000
pipeline_SVM,0.7059999999999998,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",1000,BoW,word,1000
pipeline_SVM,0.7040000000000001,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",1000,BoW,char,1000
pipeline_SVM,0.7539999999999999,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",3000,tfidf,word,1000
pipeline_SVM,0.701,"{'classifier__C': 1, 'classifier__degree': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'sigmoid'}","(2, 2)",3000,tfidf,char,1000
